Anime,Release_date,Length,Genre,Rating
Fullmetal Alchemist: Brotherhood,(2009-2010),24,"Animation, Action, Adventure",9.1
Attack on Titan,(2013-2023),24,"Animation, Action, Adventure",9
Hunter x Hunter,(2011-2014),24,"Animation, Action, Adventure",9
Bleach: Thousand-Year Blood War,(2022- ),24,"Animation, Action, Adventure",9
Ginga eiyû densetsu,(1988-1997),25,"Animation, Action, Drama",9
One Piece,(1999- ),24,"Animation, Action, Adventure",8.9
Ölüm Defteri,(2006-2007),851,"Animation, Crime, Drama",8.9
Cowboy Bebop,(1998-1999),650,"Animation, Action, Adventure",8.9
Ginga: Nagareboshi Gin,-1986,25,"Animation, Action, Adventure",8.9
Vinland Saga,(2019-2023),24,"Animation, Action, Adventure",8.8
Dragon Ball Z,(1989-1996),24,"Animation, Action, Adventure",8.8
Steins;Gate,(2011-2015),24,"Animation, Comedy, Drama",8.8
Naruto: Shippûden,(2007-2017),24,"Animation, Action, Adventure",8.7
One Punch Man: Wanpanman,(2015-2019),24,"Animation, Action, Comedy",8.7
Kenpuu Denki Berserk,(1997-1998),23,"Animation, Action, Adventure",8.7
Monster,(2004-2005),24,"Animation, Crime, Drama",8.7
Haikyuu!!,(2014-2020),24,"Animation, Comedy, Drama",8.7
Gintama,(2005-2021),25,"Animation, Action, Comedy",8.7
Code Geass: Lelouch of the Rebellion,(2006-2008),24,"Animation, Action, Drama",8.7
Jujutsu Kaisen,(2020- ),24,"Animation, Action, Adventure",8.6
Demon Slayer: Kimetsu no Yaiba,(2019- ),24,"Animation, Action, Adventure",8.6
Mob Psycho 100,(2016-2022),24,"Animation, Action, Comedy",8.6
Fruits Basket,(2019-2021),24,"Animation, Comedy, Drama",8.6
JoJo's Bizarre Adventure,(2012- ),24,"Animation, Action, Adventure",8.5
The End of Evangelion,(1995-1996),24,"Animation, Action, Drama",8.5
Kaguya-sama: Love is War,(2019-2023),24,"Animation, Comedy, Romance",8.5
Fullmetal Alchemist,(2003-2004),24,"Animation, Action, Adventure",8.5
Saint Seiya,(1986-1989),24,"Animation, Action, Adventure",8.5
Ôsama Ranking,(2021-2022),23,"Animation, Action, Adventure",8.5
Nana,(2006-2007),21,"Animation, Comedy, Drama",8.5
Kingdom,(2012- ),25,"Animation, Action, Drama",8.5
